"name,""barcode"",""price"""
"ACEITE OLIVA SABOR INTENSO TAPON VERDE ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000046406"",""2.7"""
"ACEITE OLIVA VIRGEN EXTRA TAPON VERDE, HOJIBLANCA, BOTELLA 1 L,""08422767123167"",""4.9"""
"ACEITE OLIVA VIRGEN TAPON VERDE OSCURO, HACENDADO, GARRAFA 3 L,""08480000047113"",""8.70"""
"ACEITE OLIVA VIRGEN TAPON VERDE OSCURO, HACENDADO, BOTELLA 1 L,""08480000047496"",""3.2"""
"ACEITE SEMILLAS FREIR TAPON ROJO, HACENDADO, BOTELLA 1 L,""08480000044426"",""1.5"""
"ACEITE SEMILLAS FREIR TAPON ROJO, HACENDADO, GARRAFA 5 L,""08480000044433"",""7.15"""
"ACEITE VINAGRE Y SAL (MONODOSIS 5+5+5), MERRY, PAQUETE 100 CC,""08411831220017"",""1.32"""
"ALIÑO (ACEITE OLIVA, AJO Y PEREJIL) REFRIGERADO, HACENDADO, TARRINA 150 G,""08480000172655"",""1.20"""
"LIMON EXPRIMIDO, HACENDADO, BOTELLA 280 CC,""08480000049032"",""0.88"""
"AJO GRANULADO (TAPON ROJO), HACENDADO, TARRO 85 G,""08480000341815"",""0.67"""
"ALBAHACA (TAPON VERDE), HACENDADO, TARRO 20 G,""08480000341280"",""0.65"""
"ANIS GRANO (TAPÓN MARRON), HACENDADO, TARRO 50 G,""08480000341235"",""0.90"""
"AZAFRAN HEBRA, HACENDADO, CAJA 0.37 G,""08480000341150"",""1.60"""
"AZAFRAN MOLIDO, HACENDADO, CAJA 0.40 G,""08480000341167"",""1.55"""
"BOLSA PARA ASAR PESCADO EN SU JUGO, HACENDADO, CAJA 2 U - 28 G,""08480000374097"",""0.95"""
"BOLSA PARA ASAR POLLO AL AJO Y LIMON, HACENDADO, CAJA 2 U - 60 G,""08480000374035"",""0.95"""
"BOLSA PARA ASAR POLLO COSTILLAS Y LOMO CON HIERBAS PROVENZALES, HACENDADO, CAJA 2 U - 48 G,""08480000374028"",""0.95"""
"BOLSA PARA ASAR POLLO Y COSTILLA SABOR BARBACOA, HACENDADO, CAJA 2 U - 48 G,""08480000374141"",""0.95"""
"CANELA MOLIDA (TAPON ROJO), HACENDADO, TARRO 52 G,""08480000341778"",""0.51"""
"CANELA RAMA ( TAPÓN MARRON), HACENDADO, TARRO 18 G,""08480000341761"",""1.20"""
"CAYENA (GUINDILLA) (TAPÓN MARRON), HACENDADO, TARRO 27 G,""08480000341785"",""0.95"""
"CEBOLLA FRITA CRUJIENTE, ONION SPECIALTIES, BOTE 150 G,""08718781824402"",""0.99"""
"CEBOLLA POLVO (TAPON ROJO), HACENDADO, TARRO 60 G,""08480000341389"",""0.95"""
"CLAVO GRANO (TAPÓN MARRON), HACENDADO, TARRO 42 G,""08480000341228"",""1.10"""
"COLORANTE ALIMENTARIO SOBRES, EL AEROPLANO, CAJA 18 G,""08416200104134"",""0.75"""
"COLORANTE ALIMENTARIO SOBRES, HACENDADO, CAJA 35 G,""08480000341082"",""1.00"""
"COLORANTE ALIMENTARIO (TAPON NARANJA), HACENDADO, TARRO 85 G,""08480000341822"",""0.59"""
"COMINO GRANO (TAPÓN MARRON), HACENDADO, TARRO 56 G,""08480000341211"",""0.80"""
"COMINO MOLIDO (TAPON ROJO), HACENDADO, TARRO 58 G,""08480000341204"",""0.63"""
"CURCUMA (TAPON ROJO), HACENDADO, TARRO 60 G,""08480000341631"",""1.15"""
"CURRY (TAPON ROJO), HACENDADO, TARRO 57 G,""08480000341259"",""0.62"""
"ENELDO HOJAS (TAPON VERDE), HACENDADO, TARRO 22 G,""08480000341365"",""1.05"""
